method,pdb_id,num_nodes,num_edges,density,avg_clustering,avg_shortest_path
CONTACT,7mqa,404,796,0.009778149030783972,0.14968271480126621,
CONTACT,8c6j,234,465,0.017057334653901177,0.10920738805354188,
CONTACT,8fkv,257,457,0.01389226653696498,0.12421834542457105,
CONTACT,7of0,187,451,0.025932953826691967,0.24217063824644822,
CONTACT,7ae1,138,366,0.03871786734370041,0.12725829631200475,4.072569554638739
CONTACT,7qi4,154,325,0.027586792292674647,0.20509415887567145,
CONTACT,7nvl,101,263,0.05207920792079208,0.037440227539237446,3.539009900990099
CONTACT,7dvq,155,253,0.02119815668202765,0.057281313291500054,
CONTACT,8ppl,141,253,0.02563323201621074,0.07406722513105492,
CONTACT,6msb,133,248,0.028252449305080883,0.09709880762512339,
CONTACT,8glp,153,239,0.020553835569315445,0.10729328768544452,
CONTACT,8a3d,139,233,0.02429360859138776,0.18182025807925084,
CONTACT,7r5s,97,231,0.04961340206185567,0.2428764820517398,5.709192439862543
CONTACT,7ktr,73,226,0.08599695585996955,0.2571615723763822,3.752663622526636
CONTACT,7ob9,86,214,0.058549931600547195,0.2501703494863549,3.1294117647058823
CONTACT,8p0w,65,203,0.09759615384615385,0.3865787051455068,2.7841346153846156
CONTACT,7w1y,78,201,0.06693306693306693,0.03674274443505212,3.2444222444222444
CONTACT,7plo,122,187,0.02533532041728763,0.0530462706692215,
CONTACT,6qw6,128,186,0.022883858267716536,0.01804315476190476,
CONTACT,8fl3,115,157,0.02395118230358505,0.06650952911822476,
CONTACT,8h6l,109,144,0.024464831804281346,0.027260812581913495,
CONTACT,8b0f,71,133,0.05352112676056338,0.07913033758104179,4.01046277665996
CONTACT,5le5,51,127,0.0996078431372549,0.1353352529823118,2.9952941176470587
CONTACT,7wtu,89,116,0.0296220633299285,0.10580471889130184,
CONTACT,7wld,50,111,0.09061224489795919,0.15072871572871574,2.9526530612244897
CONTACT,7w37,84,104,0.02983362019506598,0.013095238095238096,
CONTACT,8qyl,50,99,0.08081632653061224,0.20445454545454544,2.933061224489796
CONTACT,7q4o,46,89,0.08599033816425121,0.19420266434332928,
CONTACT,7egg,31,87,0.1870967741935484,0.40139894061795584,2.1139784946236557
CONTACT,6kwy,60,85,0.0480225988700565,0.0,5.4062146892655365
CONTACT,6wlz,43,85,0.09413067552602436,0.23539483772041905,3.745293466223699
CONTACT,8h6k,44,84,0.08879492600422834,0.11906414292777927,3.4725158562367864
CONTACT,8ppr,38,83,0.11806543385490754,0.4983315238162883,2.4893314366998576
CONTACT,6id1,48,73,0.06471631205673758,0.0,
CONTACT,8bzl,47,73,0.06753006475485661,0.1005221728625984,3.7012025901942645
CONTACT,3p8c,41,68,0.08292682926829269,0.0,3.3048780487804876
CONTACT,8h9s,36,67,0.10634920634920635,0.39682539682539675,
CONTACT,8fle,56,64,0.04155844155844156,0.0,
CONTACT,8ptx,42,64,0.0743321718931475,0.0,3.6422764227642275
CONTACT,7zwd,31,63,0.13548387096774195,0.14005027230833683,2.6946236559139787
CONTACT,8css,51,63,0.04941176470588235,0.10633484162895926,
CONTACT,8fky,42,61,0.07084785133565621,0.0,4.3983739837398375
CONTACT,8hmz,30,60,0.13793103448275862,0.08396825396825397,2.6551724137931036
CONTACT,6wlw,32,58,0.11693548387096774,0.21306818181818182,
CONTACT,6e5b,44,56,0.05919661733615222,0.018488455988455988,
CONTACT,6lth,29,52,0.12807881773399016,0.26061352440662783,2.7586206896551726
CONTACT,6zwo,42,52,0.06039488966318235,0.0,
CONTACT,7nvu,36,52,0.08253968253968254,0.046296296296296294,4.644444444444445
CONTACT,8xya,38,51,0.07254623044096728,0.0,
CONTACT,8bpb,24,50,0.18115942028985507,0.12613936988936988,2.286231884057971
CONTACT,8cvt,46,50,0.04830917874396135,0.0,
CONTACT,3ije,35,48,0.08067226890756303,0.0,3.250420168067227
CONTACT,6o60,24,48,0.17391304347826086,0.0640873015873016,2.4927536231884058
CONTACT,8b3d,33,48,0.09090909090909091,0.0,3.106060606060606
CONTACT,7k0k,24,47,0.17028985507246377,0.0,2.641304347826087
CONTACT,5c5b,24,46,0.16666666666666666,0.0,2.753623188405797
CONTACT,6zxg,43,46,0.05094130675526024,0.0,
CONTACT,7sgl,35,46,0.0773109243697479,0.0,
CONTACT,6wzg,29,45,0.11083743842364532,0.0,2.980295566502463
CONTACT,8gcd,33,45,0.08522727272727272,0.0,3.3333333333333335
CONTACT,8ag4,21,44,0.20952380952380953,0.0,2.1523809523809523
CONTACT,8gs8,22,44,0.19047619047619047,0.18225108225108225,2.3852813852813854
CONTACT,4nen,30,42,0.09655172413793103,0.0,3.2528735632183907
CONTACT,8a9j,28,42,0.1111111111111111,0.038636363636363635,
CONTACT,3gzn,25,41,0.13666666666666666,0.0,3.0933333333333333
