	BM663_mouse_1_KPC_HOP_DAC	BM667_mouse_2_KPC_HOP_DAC	BM726_mouse_3_KPC_HOP_DAC	BM730_mouse_4_KPC_HOP_PBS	BM731_mouse_5_KPC_HOP_PBS	BM878_mouse_6_KPC_HOP_PBS	BM1101_mouse_7_allograft_DAC	BM1102_mouse_7_allograft_untreated	BM1103_mouse_8_allograft_DAC	BM1104_mouse_8_allograft_untreated	BM1105_mouse_9_allograft_DAC	BM1106_mouse_9_allograft_untreated	BM1107_mouse_10_allograft_DAC	BM1108_mouse_10_allograft_untreated	BM9818_mouse_11_KPC_cutltured_control	BM9819_mouse_11_KPC_cutltured_DAC_5uM	BM9820_mouse_11_KPC_cutltured_DAC_10uM
Xkr4	0.762133	0.342516	0.319399	0.15523	0.346664	0.474067	0.534845	0.342265	0.470582	0.362794	0.301434	0.26445	0.350457	0.281049	0.0623155	0.0702541	0.0596342
Rp1	0.0128351	0.00298931	0.0169455	0.0169138	0.0256839	0.00328679	0.0	0.0131891	0.0283848	0.00542029	0.0336236	0.0074147	0.00294738	0.00244885	0.0	0.00663373	0.00234494
Sox17	3.09444	3.4015	13.4169	3.08946	14.6366	6.35005	0.714054	0.84541	0.516358	0.890449	0.964145	0.38908	1.48051	0.53656	0.140247	0.082213	0.18031
Mrpl15	11.6901	12.0446	16.1314	8.04877	14.7048	13.34	15.3076	15.9214	19.1211	16.5714	13.9267	15.3259	15.2989	16.6172	16.1706	18.64	19.4135
Lypla1	35.1607	31.2182	39.1441	26.5912	35.0646	30.3997	34.6277	38.7799	39.5623	38.7016	37.1022	40.372	35.3736	37.9143	28.0262	31.3913	28.8511
Tcea1	30.6228	25.4964	38.7101	34.0838	35.4109	31.3331	37.6977	41.4191	48.2539	41.3464	40.9041	44.4416	42.6032	38.7832	20.5282	25.1909	24.6299
Rgs20	0.688941	2.87782	2.31868	1.29572	3.23386	0.778224	1.20516	0.855719	0.653958	0.686011	1.52819	0.202432	1.57525	0.769001	0.600151	0.998204	1.07211
Atp6v1h	42.4142	32.349	47.1371	38.3317	45.2328	35.4882	40.3005	46.8242	50.4808	38.9694	43.3419	47.5663	45.136	39.026	33.5638	39.8789	39.0197
Oprk1	0.0	0.00487074	0.0245358	0.0	0.0204878	0.0	0.0	0.0	0.0	0.00441937	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Npbwr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00612007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rb1cc1	11.3817	11.8654	12.78	7.58756	11.9455	12.6647	11.0527	9.86019	11.2812	10.5384	11.3837	12.2911	11.4729	10.3772	13.2426	13.8143	12.7781
Fam150a	0.0307141	0.032344	0.121546	0.0	0.0	0.0	0.0	0.0	0.0	0.0296889	0.0298019	0.0	0.0	0.0268802	0.0	0.0	0.0
St18	0.250826	0.138743	0.0554252	0.10824	0.167739	0.226513	0.076216	0.0508445	0.0628455	0.0596756	0.0545326	0.0464069	0.0744411	0.0670158	0.105878	0.137202	0.139833
Pcmtd1	16.7871	14.8733	16.5794	13.4954	16.7087	13.6338	14.6512	13.8635	19.5876	15.5335	12.9942	15.5353	14.2239	12.453	21.3432	18.4946	16.0224
Sntg1	1.21004	0.616898	0.804274	0.279383	0.331036	0.870131	0.471655	0.299882	0.0204998	0.0990896	0.359121	0.0264532	0.0807793	0.0940286	0.0	0.0	0.0
Rrs1	18.1621	15.2497	22.3938	16.9392	20.3973	23.1428	17.0629	18.8253	15.0267	19.1388	20.8117	17.27	21.6397	20.2376	9.92217	16.1862	17.8772
Adhfe1	1.3638	1.83538	1.35449	0.846781	1.2119	1.03103	1.51033	2.76791	1.87248	1.60909	1.43581	2.85117	1.41927	1.39905	1.74812	0.880412	0.872256
2610203C22Rik	2.49154	0.557075	0.545943	1.51589	0.563233	1.31364	0.512189	0.426303	0.62533	0.716952	0.720885	0.583877	0.388791	0.56229	0.108575	0.0605199	0.129583
3110035E14Rik	0.104205	0.0801464	0.0366825	0.0324164	0.0229673	0.0240221	0.0544785	0.0142993	0.0	0.0397052	0.0	0.0	0.0143802	0.0179438	0.0110078	0.0268867	0.0228259
Mybl1	1.17645	0.738924	0.734388	0.699399	1.45103	1.04725	1.05864	0.864896	1.16272	0.965155	1.23812	1.18161	1.14478	0.941462	2.19111	3.98021	4.2165
Vcpip1	15.9312	17.6089	18.6218	11.7477	18.9583	20.3244	13.7101	13.3293	13.5852	14.8399	15.5296	16.2643	15.2582	16.8106	19.1877	21.7253	20.3144
1700034P13Rik	0.155454	0.207268	0.233224	0.101861	0.0937084	0.282727	0.119552	0.158192	0.0409869	0.178374	0.228094	0.195031	0.217057	0.112562	0.579441	0.50303	0.743307
Sgk3	9.67104	5.46266	2.72108	6.34962	3.97829	6.10493	3.54771	3.39239	3.18259	2.68904	4.87777	2.64611	3.51712	2.76905	2.49232	3.82043	3.79772
