hsa	rno	isohsa	isorno	exoniden
ENSG00000000005	ENSRNOG00000060970	ENST00000373031	ENSRNOT00000083229	hsa0000117469-rno0000093163|0.94;hsa0000117470-rno0000093166|0.9;hsa0000117471-rno0000093168|0.91;hsa0000117472-rno0000093169|0.94;hsa0000117473-rno0000093170|0.9;hsa0000117474-rno0000093171|0.87;hsa0000117475-rno0000093172|0.95
ENSG00000000938	ENSRNOG00000009912	ENST00000374005	ENSRNOT00000013778	hsa0000008395-rno0000088818|0.7;hsa0000008396-rno0000088819|0.87;hsa0000008397-rno0000088820|0.79;hsa0000008398-rno0000088821|0.88;hsa0000008399-rno0000088822|0.88;hsa0000008400-rno0000088823|0.81;hsa0000008402-rno0000088824|0.88;hsa0000008403-rno0000088825|0.78;hsa0000008404-rno0000088826|0.84;hsa0000008405-rno0000088827|0.89;hsa0000008406-rno0000088828|0.89
ENSG00000000938	ENSRNOG00000009912	ENST00000399173	ENSRNOT00000013778	hsa0000008395-rno0000088818|0.7;hsa0000008396-rno0000088819|0.87;hsa0000008397-rno0000088820|0.79;hsa0000008398-rno0000088821|0.88;hsa0000008399-rno0000088822|0.88;hsa0000008400-rno0000088823|0.81;hsa0000008402-rno0000088824|0.88;hsa0000008403-rno0000088825|0.78;hsa0000008404-rno0000088826|0.84;hsa0000008405-rno0000088827|0.89;hsa0000008406-rno0000088828|0.89
ENSG00000000938	ENSRNOG00000009912	ENST00000374004	ENSRNOT00000013778	hsa0000008395-rno0000088818|0.7;hsa0000008396-rno0000088819|0.87;hsa0000008397-rno0000088820|0.79;hsa0000008398-rno0000088821|0.88;hsa0000008399-rno0000088822|0.88;hsa0000008400-rno0000088823|0.81;hsa0000008402-rno0000088824|0.88;hsa0000008403-rno0000088825|0.78;hsa0000008404-rno0000088826|0.84;hsa0000008405-rno0000088827|0.89;hsa0000008406-rno0000088828|0.89
ENSG00000000938	ENSRNOG00000009912	ENST00000374003	ENSRNOT00000013778	hsa0000008395-rno0000088818|0.7;hsa0000008396-rno0000088819|0.87;hsa0000008397-rno0000088820|0.79;hsa0000008398-rno0000088821|0.88;hsa0000008399-rno0000088822|0.88;hsa0000008400-rno0000088823|0.81;hsa0000008402-rno0000088824|0.88;hsa0000008403-rno0000088825|0.78;hsa0000008404-rno0000088826|0.84;hsa0000008405-rno0000088827|0.89;hsa0000008406-rno0000088828|0.89
ENSG00000001084	ENSRNOG00000006302	ENST00000650454	ENSRNOT00000033196	hsa0000096583-rno0000130203|0.91;hsa0000096586-rno0000130204|0.86;hsa0000096588-rno0000130205|0.91;hsa0000096590-rno0000130206|0.85;hsa0000096592-rno0000130207|0.9;hsa0000096593-rno0000130208|0.87;hsa0000096595-rno0000130209|0.95;hsa0000096596-rno0000130210|0.96;hsa0000096597-rno0000130211|0.8;hsa0000096598-rno0000130212|0.9;hsa0000096599-rno0000130213|0.92;hsa0000096600-rno0000130214|0.88;hsa0000096601-rno0000130215|0.88;hsa0000096602-rno0000130216|0.89;hsa0000096603-rno0000130217|0.93;hsa0000096604-rno0000130218|0.87
ENSG00000001084	ENSRNOG00000006302	ENST00000643939	ENSRNOT00000033196	hsa0000096584-rno0000130203|0.83;hsa0000096586-rno0000130204|0.86;hsa0000096588-rno0000130205|0.91;hsa0000096589-rno0000130206|0.74;hsa0000096592-rno0000130207|0.9;hsa0000096593-rno0000130208|0.87;hsa0000096595-rno0000130209|0.95;hsa0000096596-rno0000130210|0.96;hsa0000096597-rno0000130211|0.8;hsa0000096598-rno0000130212|0.9;hsa0000096599-rno0000130213|0.92;hsa0000096600-rno0000130214|0.88;hsa0000096601-rno0000130215|0.88;hsa0000096602-rno0000130216|0.89;hsa0000096603-rno0000130217|0.93;hsa0000096604-rno0000130218|0.87
ENSG00000001084	ENSRNOG00000006302	ENST00000513939	ENSRNOT00000119398	hsa0000096583-rno0000130203|0.91;hsa0000096586-rno0000130204|0.86;hsa0000096588-rno0000130205|0.91;hsa0000096592-rno0000130207|0.9;hsa0000096593-rno0000130208|0.87;hsa0000096595-rno0000130209|0.95;hsa0000096596-rno0000130210|0.96;hsa0000096597-rno0000130211|0.8;hsa0000096598-rno0000130212|0.9;hsa0000096599-rno0000130213|0.92;hsa0000096600-rno0000130214|0.88;hsa0000096601-rno0000130215|0.88;hsa0000096602-rno0000130216|0.89;hsa0000096603-rno0000130217|0.93;hsa0000096604-rno0000130218|0.87
ENSG00000001630	ENSRNOG00000007234	ENST00000003100	ENSRNOT00000009985	hsa0000108437-rno0000044027|0.77;hsa0000108438-rno0000044028|0.89;hsa0000108439-rno0000044029|0.86;hsa0000108441-rno0000044030|0.87;hsa0000108442-rno0000044031|0.87;hsa0000108443-rno0000044032|0.82;hsa0000108445-rno0000044033|0.83;hsa0000108446-rno0000044034|0.86;hsa0000108448-rno0000044035|0.91;hsa0000108450-rno0000044036|0.94
ENSG00000002549	ENSRNOG00000003289	ENST00000226299	ENSRNOT00000004770	hsa0000071769-rno0000178236|0.81;hsa0000071771-rno0000178237|0.86;hsa0000071772-rno0000178238|0.87;hsa0000071773-rno0000178239|0.84;hsa0000071774-rno0000178240|0.89;hsa0000071776-rno0000178241|0.88;hsa0000071777-rno0000178242|0.85;hsa0000071778-rno0000178243|0.92;hsa0000071779-rno0000178244|0.89;hsa0000071780-rno0000178247|0.83;hsa0000071781-rno0000178248|0.91;hsa0000071783-rno0000178249|0.86;hsa0000071784-rno0000178250|0.85
ENSG00000002549	ENSRNOG00000003289	ENST00000618908	ENSRNOT00000004770	hsa0000071769-rno0000178236|0.81;hsa0000071771-rno0000178237|0.86;hsa0000071772-rno0000178238|0.87;hsa0000071773-rno0000178239|0.84;hsa0000071774-rno0000178240|0.89;hsa0000071776-rno0000178241|0.88;hsa0000071777-rno0000178242|0.85;hsa0000071778-rno0000178243|0.92;hsa0000071779-rno0000178244|0.89;hsa0000071780-rno0000178247|0.83;hsa0000071781-rno0000178248|0.91;hsa0000071783-rno0000178249|0.86;hsa0000071784-rno0000178250|0.85
ENSG00000002834	ENSRNOG00000004132	ENST00000318008	ENSRNOT00000005522	hsa0000241177-rno0000160412|0.94;hsa0000241178-rno0000160413|0.93;hsa0000241181-rno0000160414|0.92;hsa0000241184-rno0000160415|0.92;hsa0000241185-rno0000160416|0.84;hsa0000241188-rno0000160417|0.91;hsa0000241190-rno0000160419|0.91
ENSG00000003056	ENSRNOG00000014992	ENST00000000412	ENSRNOT00000020364	hsa0000174661-rno0000049520|0.83;hsa0000174665-rno0000049521|0.88;hsa0000174667-rno0000049522|0.92;hsa0000174670-rno0000049523|0.89;hsa0000174673-rno0000049524|0.83;hsa0000174676-rno0000049525|0.88
ENSG00000003137	ENSRNOG00000015076	ENST00000001146	ENSRNOT00000020505	hsa0000036123-rno0000046738|0.93;hsa0000036125-rno0000046739|0.88;hsa0000036127-rno0000046740|0.89;hsa0000036130-rno0000046741|0.9;hsa0000036131-rno0000046742|0.87;hsa0000036132-rno0000046743|0.89
ENSG00000003137	ENSRNOG00000015076	ENST00000546307	ENSRNOT00000114567	hsa0000036123-rno0000046738|0.93;hsa0000036127-rno0000046740|0.89;hsa0000036130-rno0000046741|0.9;hsa0000036131-rno0000046742|0.87;hsa0000036132-rno0000046743|0.89
ENSG00000003756	ENSRNOG00000018153	ENST00000347869	ENSRNOT00000024529	hsa0000058734-rno0000131001|1.0;hsa0000058735-rno0000131003|0.94;hsa0000058740-rno0000131004|0.92;hsa0000058743-rno0000131005|0.97;hsa0000058746-rno0000131006|1.0;hsa0000058748-rno0000131007|0.99;hsa0000058749-rno0000131008|1.0;hsa0000058750-rno0000131009|0.92;hsa0000058751-rno0000131010|0.91;hsa0000058752-rno0000131011|0.93;hsa0000058753-rno0000131012|0.89;hsa0000058754-rno0000131013|0.86;hsa0000058755-rno0000131014|0.89;hsa0000058756-rno0000131015|0.88;hsa0000058757-rno0000131016|0.98;hsa0000058758-rno0000131017|0.89;hsa0000058759-rno0000131019|0.81;hsa0000058760-rno0000131020|0.95;hsa0000058761-rno0000131021|0.96;hsa0000058762-rno0000131022|0.91;hsa0000058763-rno0000131023|0.91;hsa0000058764-rno0000131024|0.89;hsa0000058765-rno0000131025|0.95;hsa0000058766-rno0000131026|0.94
ENSG00000003989	ENSRNOG00000011016	ENST00000494857	ENSRNOT00000014809	hsa0000131864-rno0000199461|0.85;hsa0000131865-rno0000199462|0.86;hsa0000131866-rno0000199463|0.91;hsa0000131867-rno0000199464|0.91;hsa0000131868-rno0000199465|0.88;hsa0000131869-rno0000199466|0.99;hsa0000131871-rno0000199468|0.91;hsa0000131872-rno0000199469|0.8;hsa0000131873-rno0000199470|0.83;hsa0000131874-rno0000199471|0.87;hsa0000131875-rno0000199472|0.83
ENSG00000003989	ENSRNOG00000011016	ENST00000522656	ENSRNOT00000014809	hsa0000131864-rno0000199461|0.85;hsa0000131865-rno0000199462|0.86;hsa0000131866-rno0000199463|0.91;hsa0000131867-rno0000199464|0.91;hsa0000131868-rno0000199465|0.88;hsa0000131869-rno0000199466|0.99;hsa0000131871-rno0000199468|0.91;hsa0000131872-rno0000199469|0.8;hsa0000131873-rno0000199470|0.83;hsa0000131874-rno0000199471|0.87;hsa0000131875-rno0000199472|0.83
ENSG00000003989	ENSRNOG00000011016	ENST00000470360	ENSRNOT00000015127	hsa0000131864-rno0000199461|0.85;hsa0000131865-rno0000199462|0.86;hsa0000131866-rno0000199463|0.91;hsa0000131867-rno0000199464|0.91;hsa0000131868-rno0000199465|0.88;hsa0000131870-rno0000199467|0.95;hsa0000131871-rno0000199468|0.91;hsa0000131872-rno0000199469|0.8;hsa0000131873-rno0000199470|0.83;hsa0000131874-rno0000199471|0.87;hsa0000131875-rno0000199472|0.83
ENSG00000003989	ENSRNOG00000011016	ENST00000640220	ENSRNOT00000014809	hsa0000131864-rno0000199461|0.85;hsa0000131865-rno0000199462|0.86;hsa0000131866-rno0000199463|0.91;hsa0000131867-rno0000199464|0.91;hsa0000131868-rno0000199465|0.88;hsa0000131869-rno0000199466|0.99;hsa0000131871-rno0000199468|0.91;hsa0000131872-rno0000199469|0.8;hsa0000131873-rno0000199470|0.83;hsa0000131874-rno0000199471|0.87;hsa0000131875-rno0000199472|0.83
ENSG00000004468	ENSRNOG00000003069	ENST00000226279	ENSRNOT00000004121	hsa0000067786-rno0000172028|0.68;hsa0000067787-rno0000172029|0.68;hsa0000067790-rno0000172030|0.75;hsa0000067792-rno0000172031|0.72;hsa0000067793-rno0000172032|0.84;hsa0000067794-rno0000172034|0.76;hsa0000067796-rno0000172035|0.7;hsa0000067797-rno0000172036|0.75
ENSG00000004478	ENSRNOG00000006444	ENST00000001008	ENSRNOT00000008737	hsa0000184089-rno0000056045|0.87;hsa0000184091-rno0000056046|0.94;hsa0000184093-rno0000056047|0.92;hsa0000184094-rno0000056048|0.84;hsa0000184095-rno0000056049|0.85;hsa0000184096-rno0000056050|0.9;hsa0000184097-rno0000056051|0.88;hsa0000184098-rno0000056052|0.85;hsa0000184099-rno0000056053|0.92;hsa0000184102-rno0000056054|0.79
ENSG00000004700	ENSRNOG00000012602	ENST00000444129	ENSRNOT00000110058	hsa0000179813-rno0000052055|0.75;hsa0000179814-rno0000052056|0.79;hsa0000179818-rno0000052058|0.77;hsa0000179819-rno0000052060|0.83;hsa0000179822-rno0000052061|0.85;hsa0000179823-rno0000052062|0.79;hsa0000179824-rno0000052063|0.78;hsa0000179825-rno0000052064|0.81;hsa0000179826-rno0000052065|0.9;hsa0000179827-rno0000052066|0.86;hsa0000179828-rno0000052067|0.82;hsa0000179829-rno0000052068|0.79;hsa0000179830-rno0000052069|0.77;hsa0000179831-rno0000052072|0.73
ENSG00000004700	ENSRNOG00000012602	ENST00000421138	ENSRNOT00000110058	hsa0000179813-rno0000052055|0.75;hsa0000179814-rno0000052056|0.79;hsa0000179818-rno0000052058|0.77;hsa0000179819-rno0000052060|0.83;hsa0000179822-rno0000052061|0.85;hsa0000179823-rno0000052062|0.79;hsa0000179824-rno0000052063|0.78;hsa0000179825-rno0000052064|0.81;hsa0000179826-rno0000052065|0.9;hsa0000179827-rno0000052066|0.86;hsa0000179828-rno0000052067|0.82;hsa0000179829-rno0000052068|0.79;hsa0000179830-rno0000052069|0.77;hsa0000179831-rno0000052072|0.73
